,title,vector,cluster
10,bass,"[-0.37141    0.55874   -0.022592  -0.95507    0.81501    0.13522
  0.22962   -0.25207   -0.62777   -0.64645   -0.33903   -0.19838
 -0.47922    0.99622   -0.15047   -0.35323   -0.21605   -0.76013
  0.48644    0.49061    0.28197    0.051997   0.70311   -0.20807
  0.56078    0.45078   -0.67887   -0.25492    0.69941    0.64943
 -0.75699    0.44651    0.055992   0.0059987 -0.16072   -0.10503
  0.29453    0.63818    1.0738    -0.77402    0.51803   -0.47838
  0.17149    0.47899    0.027615   0.4288    -0.31403   -0.76396
  0.1177    -0.76107   -0.52937    0.32401   -0.25192   -0.20607
  0.098295  -2.0128    -0.37639   -0.39559    0.033092   1.2019
  0.66706    0.095877   0.23275    0.27539    0.29093   -0.68856
  0.45885    0.27293    0.33796   -0.16843   -0.24579    0.22931
  0.56183   -0.1656    -0.13193   -0.33621   -0.068498   0.037624
  1.1392     0.077532   0.22635   -1.1167     0.13903   -0.53986
 -0.18659    0.18083    0.57654   -0.91964   -0.15298    0.074384
 -0.93313    0.31214   -0.25345   -0.12803    0.12023    0.35939
 -2.0846    -0.36327    1.2941    -0.46299  ]",0
11,buxtehude,"[ 0.12307    0.32128   -0.49415    0.84673    0.34726   -0.071013
 -0.33635   -0.40043   -0.39505   -0.32431    0.21742   -0.081608
  0.033279  -0.36531   -0.55673    0.69529    0.074469   0.16257
  0.38365    0.096312  -0.57979   -0.40073   -0.071662   0.47608
 -0.53954   -0.46803   -0.78211    0.11225    0.48408    0.12396
 -0.47426   -0.47198    0.58665   -0.092839  -0.35825    0.28748
  0.92132   -0.58112    0.45572   -0.015217   0.78992    0.41496
 -0.19381    0.4814    -0.25331   -0.45537    0.5832    -0.48278
 -0.11039   -0.012592  -0.45825   -0.54362    0.029858  -0.49087
  0.062571   0.85257   -0.63968   -0.38905   -1.2925     0.31314
  0.37124   -0.14424   -0.37772    0.70886    0.47945    0.04004
 -0.058592  -0.22733    0.11328    0.088043  -0.0056732  0.23468
  0.26791   -0.40486    0.19566   -0.35667    0.49192    0.28194
  0.56114    0.25533   -0.21872    0.20955   -0.41619    0.60304
 -0.59418    0.8458    -0.18377   -0.15992   -0.30401    0.34266
  0.87206    0.24965    0.11323    0.76192    0.35358   -0.086092
  0.093708   0.23949    0.091235  -0.14174  ]",0
12,galerie,"[ 0.70839  -0.29105  -0.51392   0.20305   0.63686  -0.073286  0.31337
  0.94178  -0.39054   0.35545   0.25056   0.15333  -0.1317   -0.23539
 -0.29862   0.74924  -0.026606  0.31612  -0.53509  -0.38171  -0.23729
  0.55483  -0.51609  -0.053788  0.64767  -0.41333   0.91731  -0.23412
  0.22454  -0.14192  -0.55055  -0.25315  -0.30894   0.46506  -0.4313
 -0.33868   1.1023   -0.73683  -0.22256  -1.0202    1.2568   -0.79579
 -0.89699   0.27759  -0.29053   0.048148  0.078732 -0.27266  -0.17119
  1.2998   -0.25232   0.61395   0.01491  -0.91199  -1.3159   -0.7939
  0.132     0.27914  -1.4865   -0.65217  -0.26494   0.39612  -0.54244
 -0.035178  0.055169 -0.089149  0.26302  -0.056881  0.68672  -0.14104
  0.033672 -0.28592  -0.44207   0.16328   0.35293  -0.087941  0.42091
 -0.52532   0.31426  -0.51879   0.43239  -0.33816   0.54034  -0.17766
 -0.14018  -0.47573   0.21492   0.30207  -0.21593  -0.55309  -0.34583
 -0.39039   1.3884    1.2651    0.50326  -0.19959   0.27976  -0.57504
  0.32081  -0.30747 ]",0
13,wien,"[-0.046703 -0.29299   0.7113    0.17346  -0.82906  -0.7626    0.38659
 -0.095468 -0.40543  -0.57176   0.75581   0.012977 -1.3966    0.093113
  0.22346   0.4465    0.54761  -0.75452   0.10745  -0.26194   0.68628
  0.35526  -0.73863   0.46162  -0.54244  -0.2704    0.056541  0.35871
  0.88084   0.46068  -0.69013   0.1885   -0.031304  0.30739   0.045217
 -0.22875   0.97558   0.44038  -0.095276 -0.64502   0.76394  -0.6316
 -1.4499    0.62305   0.69883   0.2317    0.69323  -0.78879  -0.11753
 -0.030352  0.12617  -0.77078   0.49305  -0.12154  -0.20452  -0.6387
  0.78428  -0.74437  -1.1541   -0.36755  -0.033026 -0.045697  0.078182
  1.1849    0.423     0.20394   0.18369   0.61816  -0.22019   0.48004
  0.16845  -0.96386   0.09524   0.33089  -0.42737  -1.385    -0.412
 -0.76361  -0.49843  -0.97897   1.0251   -0.37057  -0.070882 -0.061615
  0.6501   -0.49612  -0.26549  -1.0527   -0.095864 -0.54113   0.55314
 -0.72211   0.41866   0.52568   0.47722   0.18778   0.026931  0.46252
  0.37173   0.82666 ]",0
14,horn,"[-0.80488   -0.19734    0.38809   -0.69521    0.46097    0.090692
  0.064042   0.1241     0.18671   -0.54256   -0.87055   -0.12058
 -0.69885    0.72936   -0.17774    0.41007   -0.066719  -0.7987
 -0.22111   -0.37508   -0.27745   -0.070346   0.58081   -0.93013
  0.83963    0.46719   -0.85827    0.55534    0.38133    0.076143
  0.35638   -0.29583    0.4741    -0.21957   -0.26697   -0.8773
  0.73229    0.9909     0.79527   -0.093689  -0.13618   -0.20569
  0.31659    0.094053  -0.041223   0.35311    0.48055   -0.63995
 -0.050871  -0.074426  -0.88645    0.43523   -0.60562    0.058583
 -0.0059151 -1.6169    -0.73289   -0.017989   0.64729    1.1894
  0.57124    0.40345   -0.22823   -0.076228  -0.20831    0.35239
 -0.047131   0.22454    0.2206    -0.13534   -0.34814   -0.25288
  0.19942   -0.33121    0.33129   -0.43016   -0.8206     0.53807
  0.15607    0.28594    0.37604   -0.042563  -0.49659   -0.53387
 -0.21854    0.51715    0.28085   -0.79467   -0.42194    0.091431
 -0.44114    0.19644    0.19589    0.12769   -0.28668    0.43857
 -1.4494    -0.2313     0.26493   -0.32637  ]",0
15,stadthagen,"[-0.097588  -0.057575  -0.16182    0.79705   -0.15723   -0.2757
 -0.5048     0.35764    0.12406    0.30093    0.12755   -0.036548
 -0.16405   -0.08425    0.031767   0.25107   -0.33311    0.057273
  0.22468   -0.02207   -0.12906    0.39013    0.15746    0.35176
 -0.86902    0.071917   0.40057    0.091861   0.48167   -0.04073
 -0.0040808 -0.23929    0.16409    0.21887   -0.27197    0.11596
  0.4567     0.23752   -0.13755    0.035646   0.30709   -0.071424
  0.061669   0.19744   -0.35278    0.053963   0.68277   -0.027012
 -0.13912    0.095476  -0.16565   -0.45197    0.050697  -0.28836
 -0.28257    0.82057   -0.3389    -0.043694  -0.37389   -0.11244
 -0.32656   -0.3064     0.27842   -0.22784   -0.75141    0.11678
 -0.33571   -0.11364    0.015629  -0.15114    0.23953   -0.077102
  0.62081    0.19388    0.11537   -0.074528   0.28655    0.38885
  0.32388    0.31928   -0.37101    0.28989    0.20082   -0.20781
  0.78715   -0.062467  -0.033678   0.29574    0.032169   0.020566
  0.32213    0.17027    0.38769    0.11441   -0.086898  -0.080494
  0.11258    0.33642   -0.4493     0.059513 ]",0
16,facebook,"[ 0.19767   -0.44544   -0.38685   -0.81796    0.95844    0.61947
 -0.4172    -0.5223     0.85626    0.10891    0.63537   -0.25726
  0.27993   -1.2266     0.33863   -0.25225    0.54777   -0.21815
 -0.26749    0.60193   -0.30435   -0.25225    0.32772    1.6072
 -0.061066  -0.68495    0.31469    0.78595    0.096327   0.040332
  0.67411    1.8843     0.20131    0.3148     0.40273    0.042004
 -0.23592   -0.10216   -0.2436    -0.30756   -0.044116   0.52803
  0.37893    0.090635  -0.96106    0.37989   -0.49741    0.32403
  0.57573   -0.51397    0.7066    -0.33871   -0.084517   0.39673
 -0.4327    -1.4386     0.026394  -0.60656    0.77222    0.1033
 -0.59637    0.41039    0.015669  -0.28509    0.7475     0.54693
  0.32331   -0.32825    1.0891    -0.19079    0.27893    0.79216
 -0.04552   -1.0241    -0.96866    0.52165    0.97801   -0.25818
 -0.0094968  0.079449   0.37857   -0.80585    0.27001   -0.26469
 -0.81564   -0.16206    0.202      0.0089007 -0.17383    0.25891
  0.25399    1.0143     0.45496   -0.50315    0.7075    -0.36268
 -0.27784    0.28295    0.12254    0.68536  ]",0
17,northeim,"[-0.11774  -0.43538  -0.079081  0.69594   0.12988  -0.083866 -0.6679
  0.39481   0.10957   0.20347   0.20576  -0.32789  -0.46594   0.70132
 -0.059939 -0.12072  -0.3321   -0.55251  -0.036094  0.21099  -0.20709
  0.19616   0.44292   0.011005 -0.71647  -0.41182   0.34854  -0.10114
  0.41634   0.24102   0.21272  -0.035657  0.19528  -0.42139   0.23134
 -0.11754   0.32089  -0.70967  -0.11498   0.30073   0.47463  -0.14487
 -0.37508  -0.60795  -0.19975  -0.014456  0.71207  -0.34094   0.21802
  0.66332  -0.10951   0.12401   0.093662 -0.46553  -0.23661   0.69584
 -0.36156  -0.4087   -0.38593  -0.52992   0.51346  -0.21868   0.21544
  0.59702  -0.77126   0.28367  -0.36847  -0.27697  -0.017717  0.058124
 -0.099636 -0.086499  0.35173   0.76167  -0.12584   0.46602   0.38016
 -0.18018   0.50007   0.073598 -0.58331   0.5919   -0.36345  -0.42143
  0.030638  0.18639  -0.32011  -0.11364  -0.084152  0.09866   0.18863
 -0.075361  0.27753   0.1649    0.5604    0.013834  0.67355   0.17537
 -0.20787  -0.5266  ]",0
18,fragen,"[ 0.25574    0.004214  -0.65952   -0.061661  -0.43481    0.007091
  0.2331    -0.030877   0.27619   -0.0058234 -0.031481   0.58959
 -0.10165    0.0021962 -0.33766    0.15141   -0.06619    0.2534
  0.18146    0.12755    0.54992    0.079912  -0.61878   -0.19595
 -0.096446   0.15786    0.19322    0.44081    0.23045    0.4479
 -0.21568   -0.31275   -0.0016849 -0.18508    0.55208   -0.26235
  0.20473   -0.49093   -0.19414   -0.093521   0.30795    0.008732
 -0.36509    0.38169   -0.055939  -0.42887   -0.29269    0.32706
 -0.534      0.79165   -0.068966  -0.11584   -0.28516   -0.34543
  0.10578    0.50142    0.1681     0.072877  -0.39233   -0.41574
  0.19307   -0.058369  -0.36639   -0.29955   -0.13588    0.35464
 -0.17679   -0.26227   -0.16589   -0.17674    0.1139     0.3047
  0.13946    0.10929    0.13288    0.14748    0.20515    0.31329
  0.42898   -0.11361   -0.2986    -0.19035    0.22689   -0.32119
  0.23409   -0.30784   -0.13007   -0.024488   0.03402    0.38156
  0.083402   0.31542    0.46379   -0.31321    0.44174    0.29094
  0.44736    0.1135    -0.49696   -0.4896   ]",0
19,essen,"[ 0.11481   -0.67155    0.13059    0.0085037  0.017779  -0.58457
  0.33005    0.15643    0.42105    0.13367   -0.34909   -0.53571
 -0.16946    0.90138    0.40772    0.33245    0.29551   -0.57311
 -0.84248   -0.476     -0.09031   -0.13335   -0.24113    0.94538
 -0.14725   -1.018     -0.36852    0.19932   -0.057255   0.24766
 -0.54649   -0.65201    0.05155   -0.29975   -0.53092   -0.023611
  0.16697    0.48989    0.043153   0.021648   0.58386   -0.19575
 -0.81806    0.070393  -0.45532   -0.1999     0.61614   -0.28478
  0.11336    0.63905   -0.22707   -1.2336    -0.15729   -0.13546
 -1.1899    -0.5897     0.49699    0.076716  -0.637      0.19743
  1.1413     0.10128   -0.19129    0.067759  -0.06372   -0.39935
 -0.41021    0.5919    -0.43848   -0.5859    -0.37593   -0.76011
 -0.12243   -0.27889   -0.35956   -0.48191    1.1117    -0.46914
 -0.28406    0.078704   0.048203   0.19864   -0.72908    0.69877
 -0.22021    0.059988  -0.4389     0.23068   -0.094637   0.71617
  0.03206   -0.47722    0.29423    0.48755    0.79296    0.2083
 -0.17143    1.2254     0.81629    0.48651  ]",0
